"Room type,""Parametr"",""Link"",""per  pice = 0/by metrs = 1"",""Price"""
"Hallway,""Ceiling"",""https://leroymerlin.ru/product/plitka-potolochnaya-besshovnaya-polistirol-belaya-format-geysha-50-x-50-sm-2-m-17095528/"",""1"",""174.8"""
"Hallway,""Ceiling"",""https://leroymerlin.ru/product/plitka-potolochnaya-ekstruzionnaya-polistirol-belaya-format-0102-50-x-50-sm-2-m-88404840/"",""1"",""120"""
"Hallway,""Ceiling"",""https://leroymerlin.ru/product/dekorativnaya-plita-dlya-potolka-postavshchikoff-p-15-90737438/"",""1"",""99"""
"Hallway,""Ceiling"",""https://leroymerlin.ru/product/dekorativnaya-plita-dlya-potolka-postavshchikoff-p-28-90737448/"",""1"",""109.9"""
"Hallway,""Floor"",""https://leroymerlin.ru/product/pvh-plitka-jazz-oscar-41-klass-21-mm-25-m-81947679/"",""1"",""346.6"""
"Hallway,""Floor"",""https://leroymerlin.ru/product/spc-plitka-acefloor-oreh-seryy-43-klass-tolshchina-6-mm-211-m-90603325/"",""1"",""1180"""
"Hallway,""Floor"",""https://leroymerlin.ru/product/massivnaya-doska-perla-15-mm-listvennica-rustik-uf-lak-2184-m-90345668/"",""1"",""4198.3"""
"Hallway,""Floor"",""https://leroymerlin.ru/product/massivnaya-doska-dominika-15-mm-listvennica-rustik-uf-lak-197-m-90323349/"",""1"",""4189.9"""
"Hallway,""Floor"",""https://leroymerlin.ru/product/spc-laminat-s-naturalnym-shponom-dub-madrid-home-expert-tolshchina-5-mm-s-faskoy-2-89348446/"",""1"",""1685.4"""
"Hallway,""Chandelier"",""https://leroymerlin.ru/product/lyustra-podvesnaya-tarde-5070-8-8-lamp-25-m-cvet-chernyy-87460687/"",""0"",""8060"""
"Hallway,""Chandelier"",""https://leroymerlin.ru/product/lyustra-potolochnaya-inspire-amber-4-lampy-12-m-cvet-belyy-85113377/"",""0"",""3380"""
"Hallway,""Chandelier"",""https://leroymerlin.ru/product/svetilnik-nastenno-potolochnyy-svetodiodnyy-inspire-village-12-vt-8-m-neytralnyy-belyy-svet-cvet-belyy-85048578/"",""0"",""544"""
"Hallway,""Chandelier"",""https://leroymerlin.ru/product/spot-povorotnyy-inspire-technic-6-lamp-126-m-cvet-hrom-82251889/"",""0"",""3192"""
"Hallway,""Chandelier"",""https://leroymerlin.ru/product/lyustra-potolochnaya-golfo-5060-6-6-lamp-18-m-cvet-zheltyy-87460834/"",""0"",""6890"""
"Hallway,""Wall lights"",""https://leroymerlin.ru/product/svetilnik-nastennyy-bra-layma-467021902-2-lampy-60-vt-g9-220-88673948/"",""0"",""5828"""
